ch_idx: 0
train accuracy: 0.11
train_loss: tensor(2245.6389, device='cuda:0')
train_loss/datalen tensor(149.7093, device='cuda:0')
test accuracy: 0.18
test_loss: tensor(1028.0084, device='cuda:0')
test_loss/datalen tensor(146.8584, device='cuda:0')
train accuracy: 0.18
train_loss: tensor(2301.4822, device='cuda:0')
train_loss/datalen tensor(153.4322, device='cuda:0')
test accuracy: 0.14
test_loss: tensor(1022.3502, device='cuda:0')
test_loss/datalen tensor(146.0500, device='cuda:0')
train accuracy: 0.18
train_loss: tensor(2308.9214, device='cuda:0')
train_loss/datalen tensor(153.9281, device='cuda:0')
test accuracy: 0.26
test_loss: tensor(1022.8657, device='cuda:0')
test_loss/datalen tensor(146.1237, device='cuda:0')
train accuracy: 0.21
train_loss: tensor(2258.8625, device='cuda:0')
train_loss/datalen tensor(150.5909, device='cuda:0')
test accuracy: 0.18
test_loss: tensor(1037.9215, device='cuda:0')
test_loss/datalen tensor(148.2745, device='cuda:0')
train accuracy: 0.22
train_loss: tensor(2283.2520, device='cuda:0')
train_loss/datalen tensor(152.2168, device='cuda:0')
test accuracy: 0.22
test_loss: tensor(1016.4865, device='cuda:0')
test_loss/datalen tensor(145.2124, device='cuda:0')
train accuracy: 0.22
train_loss: tensor(2286.5930, device='cuda:0')
train_loss/datalen tensor(152.4395, device='cuda:0')
test accuracy: 0.29
test_loss: tensor(997.9346, device='cuda:0')
test_loss/datalen tensor(142.5621, device='cuda:0')
train accuracy: 0.23
train_loss: tensor(2283.5696, device='cuda:0')
train_loss/datalen tensor(152.2380, device='cuda:0')
test accuracy: 0.28
test_loss: tensor(1002.6668, device='cuda:0')
test_loss/datalen tensor(143.2381, device='cuda:0')
train accuracy: 0.28
train_loss: tensor(2243.1528, device='cuda:0')
train_loss/datalen tensor(149.5435, device='cuda:0')
test accuracy: 0.3
test_loss: tensor(1033.7532, device='cuda:0')
test_loss/datalen tensor(147.6790, device='cuda:0')
train accuracy: 0.2
train_loss: tensor(2280.0796, device='cuda:0')
train_loss/datalen tensor(152.0053, device='cuda:0')
test accuracy: 0.27
test_loss: tensor(1048.2911, device='cuda:0')
test_loss/datalen tensor(149.7559, device='cuda:0')
train accuracy: 0.23
train_loss: tensor(2265.8999, device='cuda:0')
train_loss/datalen tensor(151.0600, device='cuda:0')
test accuracy: 0.27
test_loss: tensor(1049.9032, device='cuda:0')
test_loss/datalen tensor(149.9862, device='cuda:0')
train accuracy: 0.23
train_loss: tensor(2241.8164, device='cuda:0')
train_loss/datalen tensor(149.4544, device='cuda:0')
test accuracy: 0.22
test_loss: tensor(1007.2587, device='cuda:0')
test_loss/datalen tensor(143.8941, device='cuda:0')
train accuracy: 0.23
